"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         136,      -5.858285738,      -2.179614442,      -3.972113692,     -0.4046891333,       -7.00141088
          0,           0,         137,      -5.846491994,      -2.181393861,      -3.957617699,     -0.3921875609,      -6.988828276
          0,           0,         138,      -5.818835494,       -2.18528106,       -3.88877238,     -0.3631528674,      -6.986891758
          0,           0,         139,      -5.867480426,      -2.186460743,      -4.025052725,     -0.4133974521,       -6.98018404
          0,           0,         140,      -5.855388654,      -2.188258084,      -4.007341555,     -0.4006002837,      -6.968830428
          0,           0,         141,      -5.828232998,      -2.192172194,      -3.939560468,     -0.3722545971,      -6.966609907
          0,           0,         142,       -5.87623965,      -2.193342166,      -4.088218251,     -0.4215725189,      -6.961072842
          0,           0,         143,      -5.864333989,      -2.195149302,      -4.084393559,     -0.4090424892,      -6.948577049
          0,           0,         144,       -5.83807157,      -2.199075641,      -4.004540691,     -0.3816663065,      -6.946002415
          0,           0,         145,      -5.884735664,      -2.200234363,      -4.155218912,      -0.429369242,      -6.940413719
          0,           0,         146,      -5.873648196,      -2.202047295,      -4.164972901,     -0.4176970564,      -6.929531593
          0,           0,         147,      -5.847781187,      -2.205966659,      -4.057950832,     -0.3906485252,      -6.927139013
          0,           0,         148,      -5.893334266,      -2.207112423,      -4.213379513,     -0.4371253881,      -6.920758748
          0,           0,         149,      -5.882933182,      -2.208925254,      -4.220913993,     -0.4260917237,      -6.910033667
          0,           0,         150,      -5.856645642,       -2.21282594,      -4.092844807,     -0.3984500683,      -6.907168905
          0,           0,         151,      -5.902110209,      -2.213959716,      -4.260415641,     -0.4448843797,      -6.901962366
          0,           0,         152,      -5.891884045,      -2.215764815,      -4.264039555,     -0.4339457948,      -6.891236537
          0,           0,         153,       -5.86459234,      -2.219630952,      -4.127110001,     -0.4050547117,      -6.888187306
          0,           0,         154,      -5.910899285,      -2.220755668,       -4.30426029,      -0.452455664,      -6.882801966
          0,           0,         155,      -5.900600536,      -2.222549891,      -4.321939329,     -0.4413711958,      -6.872779643
          0,           0,         156,      -5.872007511,      -2.226370654,      -4.169174527,     -0.4108883565,      -6.869667146
          0,           0,         157,       -5.91957994,      -2.227485645,      -4.345934933,     -0.4597091704,      -6.864579026
          0,           0,         158,      -5.909290905,      -2.229261647,      -4.397353001,     -0.4485590329,      -6.854256166
          0,           0,         159,      -5.879221235,      -2.233033065,      -4.207076252,     -0.4162673394,      -6.850915301
          0,           0,         160,      -5.928239614,      -2.234140447,      -4.374739158,     -0.4666731212,       -6.84593176
          0,           0,         161,      -5.918099712,      -2.235897473,      -4.462415878,     -0.4555792389,      -6.836304714
          0,           0,         162,      -5.886348612,      -2.239610037,      -4.223421462,     -0.4213058387,      -6.832983671
          0,           0,         163,      -5.936986255,      -2.240706952,      -4.383670586,     -0.4734165018,      -6.827886597
          0,           0,         164,      -5.927017283,      -2.242443383,      -4.487275377,      -0.462362089,      -6.818160502
          0,           0,         165,      -5.893419573,      -2.246103224,      -4.216976016,     -0.4259984879,      -6.814639486
          0,           0,         166,      -5.945964229,      -2.247189114,      -4.378500609,     -0.4800018557,       -6.80985993
          0,           0,         167,      -5.936041982,       -2.24890262,      -4.477736275,     -0.4688500857,      -6.800520244
          0,           0,         168,      -5.900444408,      -2.252501892,      -4.199809833,     -0.4303418597,      -6.796997377
